epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.42673,2.73967,8.20025,2.28645,0.13638,0.22143,0.10826,0.03564,2.67705,4.33851,2.51767,1.111e-05,1.111e-05,1.111e-05
2,7.89612,2.72952,6.13044,2.371,0.13075,0.22143,0.10296,0.03427,2.74586,4.36611,2.60835,3.30943e-05,3.30943e-05,3.30943e-05
3,9.30206,2.89655,7.76011,2.42945,0.08732,0.22143,0.10552,0.04737,2.78105,4.34317,2.63252,5.47644e-05,5.47644e-05,5.47644e-05
4,10.7738,2.43684,7.36752,2.09371,0.05556,0.1,0.05474,0.01222,2.43773,4.03412,2.24608,7.61202e-05,7.61202e-05,7.61202e-05
5,12.2572,2.34882,5.9907,2.03555,0.29683,0.05,0.0408,0.00895,2.36323,3.7419,2.22741,9.71617e-05,9.71617e-05,9.71617e-05
6,13.7654,2.23217,4.53876,1.92813,0.41635,0.42207,0.26476,0.09935,1.84566,3.0907,1.88852,0.000117889,0.000117889,0.000117889
7,15.2799,2.2079,4.28111,2.15693,0.67268,0.45079,0.53553,0.28175,1.71746,2.7514,1.73201,0.000138302,0.000138302,0.000138302
8,16.8188,1.90143,3.26686,1.58064,0.61363,0.68377,0.68025,0.33188,1.70984,2.64329,1.67736,0.000158401,0.000158401,0.000158401
9,18.3686,1.6185,2.65861,1.46846,0.46371,0.76663,0.67261,0.29914,1.77814,2.98904,1.7367,0.000178185,0.000178185,0.000178185
10,19.8763,1.59826,2.31842,1.44154,0.53273,0.70119,0.64692,0.2908,1.79796,2.18792,1.79126,0.000197656,0.000197656,0.000197656
11,21.3683,1.53887,2.15076,1.49048,0.58755,0.80693,0.71188,0.36918,1.7762,1.69326,1.65859,0.000216812,0.000216812,0.000216812
12,22.9535,1.54929,3.07737,1.3868,0.65316,0.66008,0.72978,0.35403,1.72214,1.69814,1.65709,0.000235653,0.000235653,0.000235653
13,24.6005,1.52661,1.95861,1.36129,0.71038,0.70313,0.72026,0.31487,1.7996,1.7977,1.76869,0.000254181,0.000254181,0.000254181
14,26.2855,1.45698,1.70011,1.28325,0.54722,0.73369,0.70886,0.27935,1.95591,3.35859,1.99706,0.000272394,0.000272394,0.000272394
15,27.86,1.48756,1.83045,1.37578,0.74897,0.59048,0.69786,0.34738,1.81261,2.36422,1.81917,0.000290293,0.000290293,0.000290293
16,29.4321,1.36761,1.69784,1.32394,0.65352,0.75447,0.74907,0.40693,1.73363,2.27873,1.7235,0.000307878,0.000307878,0.000307878
17,31.0141,1.40333,1.72614,1.22522,0.96001,0.24789,0.51626,0.23674,1.79893,3.71264,1.82523,0.000325148,0.000325148,0.000325148
18,32.5728,1.55902,1.93747,1.44297,0.84035,0.27766,0.39865,0.15487,2.00314,4.46521,2.03392,0.000342105,0.000342105,0.000342105
19,34.1506,1.46356,1.70768,1.46498,0.17843,0.57138,0.28824,0.13015,1.94517,3.1511,1.93582,0.000358747,0.000358747,0.000358747
20,35.6571,1.463,1.67641,1.41388,0.70246,0.25,0.33036,0.14395,2.05571,3.77581,2.13868,0.000375074,0.000375074,0.000375074
