epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1811,2.72971,9.08697,2.31021,0.11745,0.22143,0.10217,0.03492,2.74168,4.30794,2.59046,4.444e-05,4.444e-05,4.444e-05
2,37.8559,2.71199,8.99877,2.28482,0.09533,0.08571,0.07899,0.0259,2.27459,3.6312,2.18757,9.90001e-05,9.90001e-05,9.90001e-05
3,44.3212,2.06579,4.55188,1.83169,0.73889,0.39881,0.60453,0.27021,1.57157,3.34359,1.77425,0.00015246,0.00015246,0.00015246
4,54.734,1.68705,3.89929,1.56476,0.53722,0.58,0.5968,0.2962,1.74648,2.46647,1.83503,0.000204821,0.000204821,0.000204821
5,65.4789,1.74141,2.91632,1.53033,0.97817,0.41653,0.66304,0.35919,1.60714,1.93147,1.64572,0.000256081,0.000256081,0.000256081
6,72.5342,1.61583,2.6404,1.50494,0.87009,0.56564,0.69356,0.3517,1.68227,1.91783,1.65198,0.000306242,0.000306242,0.000306242
7,78.7012,1.50583,2.07465,1.39585,0.58994,0.57912,0.60074,0.34653,1.6309,1.49821,1.54984,0.000355302,0.000355302,0.000355302
8,83.2875,1.49936,1.861,1.384,0.48117,0.53452,0.52163,0.23158,1.81296,2.24883,1.769,0.000403263,0.000403263,0.000403263
9,88.7755,1.53207,1.96854,1.48326,0.6741,0.7037,0.73964,0.42978,1.60361,1.64929,1.74162,0.000450124,0.000450124,0.000450124
10,93.4029,1.49972,1.95391,1.4411,0.62177,0.71159,0.7599,0.41665,1.67352,1.56341,1.7621,0.000495885,0.000495885,0.000495885
11,99.7029,1.58163,1.68857,1.44436,0.80863,0.66429,0.75762,0.41032,1.72271,1.4838,1.87265,0.000540546,0.000540546,0.000540546
12,104.787,1.38553,1.50551,1.31468,0.82753,0.67527,0.72232,0.40374,1.69893,1.47226,1.81919,0.000584107,0.000584107,0.000584107
13,110.029,1.31687,1.53568,1.33387,0.5637,0.82418,0.76209,0.46562,1.55669,1.30156,1.6994,0.000626568,0.000626568,0.000626568
14,116.119,1.39387,1.54574,1.34811,0.67664,0.82418,0.77326,0.43936,1.69806,1.33063,1.80408,0.00066793,0.00066793,0.00066793
15,122.072,1.3248,1.51414,1.37603,0.92221,0.66159,0.82268,0.4408,1.71302,1.37588,1.97191,0.000708191,0.000708191,0.000708191
16,127.627,1.2942,1.36029,1.31077,0.60546,0.78249,0.80024,0.42926,1.77111,1.99251,2.0659,0.000747353,0.000747353,0.000747353
17,132.734,1.51679,1.43164,1.48792,0.53246,0.80336,0.66046,0.37321,1.66622,2.25219,1.91791,0.000785415,0.000785415,0.000785415
18,138.495,1.3144,1.26472,1.30127,0.5761,0.68792,0.63632,0.34572,1.78876,2.33413,1.94301,0.000822377,0.000822377,0.000822377
19,144.753,1.34686,1.29698,1.38651,0.44845,0.54474,0.49523,0.22125,2.0954,3.04687,2.25356,0.000858239,0.000858239,0.000858239
20,149.275,1.31848,1.12308,1.34411,0.76644,0.40714,0.42941,0.22378,1.92962,2.81211,2.07082,0.000893001,0.000893001,0.000893001
21,153.802,1.3037,1.22388,1.31357,0.39806,0.39446,0.36922,0.19296,2.04682,3.40459,2.12646,0.000891022,0.000891022,0.000891022
22,159.027,1.29583,1.18152,1.3667,0.36159,0.37092,0.3535,0.17087,2.10979,5.54464,2.17284,0.000880023,0.000880023,0.000880023
23,166.042,1.22,1.19022,1.32405,0.72325,0.56154,0.52396,0.24005,1.96012,2.60599,2.08203,0.000869024,0.000869024,0.000869024
24,171.836,1.38104,1.13222,1.38921,0.82942,0.52857,0.4937,0.30416,1.66452,2.23777,1.80063,0.000858025,0.000858025,0.000858025
25,176.686,1.30799,1.13053,1.33152,0.76481,0.54286,0.59421,0.31439,1.73451,1.98819,1.8875,0.000847026,0.000847026,0.000847026
26,182.765,1.28275,1.10878,1.35828,0.85172,0.49995,0.69353,0.34963,1.75464,1.8362,1.99331,0.000836027,0.000836027,0.000836027
27,188.547,1.28897,1.06847,1.29561,0.58855,0.71523,0.75438,0.38377,1.78767,1.52905,2.13931,0.000825029,0.000825029,0.000825029
28,194.594,1.34185,1.13153,1.35866,0.56109,0.70908,0.74267,0.4289,1.62717,1.42521,1.9051,0.00081403,0.00081403,0.00081403
29,199.31,1.27555,1.00153,1.33418,0.56924,0.65595,0.78614,0.42159,1.71626,1.319,1.95159,0.000803031,0.000803031,0.000803031
30,205.571,1.22976,0.9773,1.34804,0.80248,0.85965,0.84408,0.4394,1.68433,1.14301,1.91793,0.000792032,0.000792032,0.000792032
31,212.775,1.2159,1.00304,1.3059,0.59041,0.77056,0.77441,0.4124,1.66665,1.28366,1.86127,0.000781033,0.000781033,0.000781033
32,218.004,1.12899,0.99015,1.26432,0.76068,0.77446,0.79032,0.42609,1.63496,1.15853,1.81992,0.000770034,0.000770034,0.000770034
33,223.231,1.19661,0.92719,1.30381,0.72908,0.79167,0.79683,0.43159,1.64289,1.16253,1.79997,0.000759035,0.000759035,0.000759035
34,229.503,1.18933,0.94118,1.24076,0.85365,0.70579,0.78018,0.43251,1.69341,1.14322,1.83331,0.000748036,0.000748036,0.000748036
35,235.651,1.23598,1.03407,1.30074,0.80046,0.71373,0.8044,0.4445,1.67513,1.18516,1.82195,0.000737037,0.000737037,0.000737037
36,242.267,1.06507,0.83702,1.21633,0.7889,0.78235,0.78897,0.45031,1.64348,1.26824,1.82792,0.000726038,0.000726038,0.000726038
37,248.037,1.16447,0.95916,1.25501,0.78433,0.77821,0.79243,0.45036,1.61206,1.19154,1.83457,0.00071504,0.00071504,0.00071504
38,255.194,1.04038,0.80839,1.18587,0.571,0.95661,0.78741,0.43822,1.66801,1.18681,1.93906,0.000704041,0.000704041,0.000704041
39,263.299,1.02874,0.92421,1.23119,0.58091,0.875,0.78773,0.43498,1.63304,1.20707,1.92226,0.000693042,0.000693042,0.000693042
40,269.538,1.04995,0.84064,1.17245,0.73167,0.83929,0.80598,0.46066,1.65684,1.10506,1.93684,0.000682043,0.000682043,0.000682043
41,276.719,1.04656,0.86626,1.21264,0.90104,0.71329,0.83291,0.46517,1.75183,1.08888,2.06061,0.000671044,0.000671044,0.000671044
42,284.958,0.98733,0.83349,1.13559,0.76339,0.7619,0.82507,0.45477,1.73058,1.0946,2.0071,0.000660045,0.000660045,0.000660045
43,292.509,1.04931,0.80851,1.17365,0.59678,0.836,0.74602,0.43939,1.6591,1.19185,1.91472,0.000649046,0.000649046,0.000649046
44,299.701,1.09625,0.82537,1.2299,0.69821,0.875,0.7907,0.45449,1.60912,1.06963,1.94922,0.000638047,0.000638047,0.000638047
45,304.385,1.0626,0.85553,1.22808,0.6952,0.87042,0.82411,0.46823,1.63634,1.02516,1.96469,0.000627048,0.000627048,0.000627048
46,310.21,1.00513,0.76743,1.18134,0.70317,0.94337,0.83503,0.47417,1.62196,1.00389,1.92027,0.000616049,0.000616049,0.000616049
47,315.703,1.05686,0.82965,1.21771,0.71606,0.92262,0.81697,0.45067,1.65702,1.00861,1.90771,0.000605051,0.000605051,0.000605051
48,321.411,1.07133,0.8912,1.21839,0.68709,0.92262,0.79427,0.43969,1.65558,1.05583,1.87971,0.000594052,0.000594052,0.000594052
49,326.035,1.11869,0.86071,1.22327,0.688,0.89771,0.79162,0.44864,1.62982,1.05996,1.82866,0.000583053,0.000583053,0.000583053
