epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.97701,2.73967,8.20025,2.28645,0.13638,0.22143,0.10826,0.03564,2.67705,4.33851,2.51767,1.111e-05,1.111e-05,1.111e-05
2,8.85274,2.72952,6.13044,2.371,0.13075,0.22143,0.10296,0.03427,2.74586,4.36611,2.60835,3.26701e-05,3.26701e-05,3.26701e-05
3,10.6592,2.89655,7.76011,2.42945,0.08732,0.22143,0.10552,0.04737,2.78105,4.34317,2.63252,5.33502e-05,5.33502e-05,5.33502e-05
4,12.4749,2.43684,7.36752,2.09371,0.05663,0.1,0.05472,0.01223,2.43509,4.05597,2.25483,7.31505e-05,7.31505e-05,7.31505e-05
5,14.1309,2.34673,6.00562,2.03213,0.30144,0.05,0.04346,0.00921,2.41743,3.73326,2.26038,9.20708e-05,9.20708e-05,9.20708e-05
6,15.7487,2.25672,4.58427,1.93053,0.42509,0.27143,0.25722,0.08679,1.88474,3.24687,1.89619,0.000110111,0.000110111,0.000110111
7,17.4259,2.19371,4.2892,2.11463,0.75442,0.41888,0.59627,0.24983,1.7578,3.12871,1.72704,0.000127272,0.000127272,0.000127272
8,19.1025,2.06786,3.20287,1.60932,0.75217,0.55116,0.67,0.29997,1.72775,2.59419,1.62456,0.000143552,0.000143552,0.000143552
9,20.785,1.58245,2.52421,1.45585,0.6143,0.69055,0.75278,0.32396,1.68403,2.757,1.60812,0.000158953,0.000158953,0.000158953
10,22.4286,1.51654,2.2431,1.36258,0.79921,0.66591,0.80257,0.35724,1.81319,2.2305,1.62814,0.000173474,0.000173474,0.000173474
11,24.0751,1.515,2.07936,1.48925,0.73735,0.88052,0.87758,0.43707,1.79556,1.50745,1.60468,0.000187115,0.000187115,0.000187115
12,25.8115,1.68593,3.02065,1.401,0.74241,0.77903,0.82839,0.37003,1.76789,1.48245,1.56587,0.000199876,0.000199876,0.000199876
13,27.4314,1.46535,1.86125,1.31308,0.60037,0.83095,0.77604,0.40548,1.73149,1.49849,1.56748,0.000211757,0.000211757,0.000211757
14,29.3414,1.51715,1.62462,1.27916,0.72249,0.80137,0.74117,0.37423,1.82967,1.81433,1.67506,0.000222758,0.000222758,0.000222758
15,30.9339,1.52027,1.79196,1.37201,0.67968,0.85119,0.76328,0.38251,1.70678,1.54908,1.64416,0.000232879,0.000232879,0.000232879
16,32.5582,1.31539,1.67423,1.32649,0.68542,0.74167,0.79268,0.41286,1.67244,1.53236,1.63325,0.00024212,0.00024212,0.00024212
17,34.1862,1.42259,1.56609,1.20694,0.88829,0.65357,0.77911,0.34246,1.87855,1.69121,1.89639,0.000250482,0.000250482,0.000250482
18,35.9201,1.50718,1.77517,1.40406,0.86248,0.59656,0.77805,0.3036,2.03354,1.55877,2.03496,0.000257963,0.000257963,0.000257963
19,37.5647,1.41898,1.49611,1.3837,0.70581,0.81025,0.7887,0.36403,1.8357,1.30729,1.80761,0.000264565,0.000264565,0.000264565
20,39.2472,1.3777,1.45073,1.31858,0.58661,0.62857,0.69682,0.34681,1.82909,1.46423,1.89551,0.000270286,0.000270286,0.000270286
21,40.9077,1.43678,1.47412,1.37962,0.63635,0.59865,0.73115,0.34926,1.91765,1.385,2.00847,0.000275128,0.000275128,0.000275128
22,42.5668,1.30696,1.2862,1.28508,0.85515,0.63569,0.7944,0.34673,1.9416,1.29603,1.97673,0.00027909,0.00027909,0.00027909
23,44.2233,1.26575,1.37785,1.15551,0.73685,0.67937,0.7666,0.338,1.96142,1.46688,1.91891,0.000282172,0.000282172,0.000282172
24,45.8763,1.31726,1.17404,1.22558,0.71972,0.75586,0.71973,0.34454,1.86797,1.50984,1.7643,0.000284374,0.000284374,0.000284374
25,47.5159,1.1542,1.20402,1.16791,0.739,0.76416,0.73615,0.36686,1.86892,1.64988,1.83999,0.000285696,0.000285696,0.000285696
26,49.1958,1.29471,1.13142,1.22117,0.86002,0.55293,0.7336,0.3789,1.81229,1.85865,1.86593,0.000286138,0.000286138,0.000286138
27,50.8388,1.32315,1.22008,1.19656,0.81575,0.58787,0.64583,0.35715,1.70213,1.5199,1.76456,0.0002857,0.0002857,0.0002857
28,52.458,1.32904,1.25317,1.19836,0.54349,0.7361,0.69645,0.40587,1.69218,1.40545,1.73389,0.000284383,0.000284383,0.000284383
29,54.0855,1.25899,1.22145,1.26648,0.8435,0.60669,0.76054,0.39933,1.79798,1.40007,1.7791,0.000282185,0.000282185,0.000282185
30,55.736,1.25058,1.11717,1.24917,0.85235,0.74801,0.83493,0.46424,1.71855,1.1309,1.62592,0.000279108,0.000279108,0.000279108
31,57.4082,1.24476,1.12461,1.11787,0.9389,0.75307,0.87168,0.46177,1.52913,1.09286,1.56601,0.00027515,0.00027515,0.00027515
