epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.69532,2.67246,7.3782,2.37037,0.12539,0.17143,0.0959,0.03773,2.6872,4.34266,2.51646,1.111e-05,1.111e-05,1.111e-05
2,8.25512,2.54814,6.90072,2.17735,0.21427,0.17085,0.1163,0.03749,2.75624,4.29553,2.58848,3.28586e-05,3.28586e-05,3.28586e-05
3,9.98445,2.58322,7.97296,2.18338,0.10982,0.22143,0.11063,0.04629,2.7703,4.33998,2.62261,5.39787e-05,5.39787e-05,5.39787e-05
4,11.5448,2.59174,8.01337,2.34166,0.17605,0.24286,0.20324,0.1057,2.42194,3.70255,2.3887,7.44703e-05,7.44703e-05,7.44703e-05
5,13.4471,2.34086,6.3005,2.08847,0.70798,0.17143,0.17684,0.06463,2.01749,3.54991,2.01155,9.43334e-05,9.43334e-05,9.43334e-05
6,15.3614,2.35781,6.57676,2.25121,0.37333,0.13213,0.17471,0.07824,1.89075,3.32816,1.92989,0.000113568,0.000113568,0.000113568
7,17.1969,2.02515,4.46158,1.86725,0.45157,0.38571,0.3302,0.16472,1.68403,3.12003,1.78983,0.000132174,0.000132174,0.000132174
8,19.1912,1.78426,3.67708,1.65948,0.40747,0.50476,0.48828,0.26039,1.65439,3.9489,1.72504,0.000150152,0.000150152,0.000150152
9,21.0847,1.59699,3.50027,1.54837,0.45393,0.54881,0.60907,0.3362,1.59949,2.96223,1.64129,0.000167501,0.000167501,0.000167501
10,23.4607,1.6109,2.6012,1.48969,0.4542,0.69971,0.55846,0.27201,1.75093,2.77171,1.68093,0.000184221,0.000184221,0.000184221
11,25.3853,1.56315,2.3254,1.44379,0.5738,0.70015,0.71596,0.31607,1.82272,1.96949,1.79198,0.000200313,0.000200313,0.000200313
12,27.2841,1.496,2.3653,1.39214,0.59624,0.77448,0.73543,0.37735,1.65526,1.77787,1.73284,0.000215777,0.000215777,0.000215777
13,29.1321,1.4103,2.08694,1.34581,0.95297,0.57435,0.73809,0.40005,1.70296,1.65757,1.74127,0.000230612,0.000230612,0.000230612
14,31.0429,1.41985,1.83381,1.33481,0.4969,0.74978,0.69618,0.35381,1.72285,1.80918,1.83843,0.000244818,0.000244818,0.000244818
15,32.8876,1.32273,1.74364,1.30364,0.5527,0.68278,0.67578,0.31662,1.92826,1.65582,2.01222,0.000258396,0.000258396,0.000258396
16,34.7638,1.46954,1.9366,1.44254,0.61445,0.50534,0.65702,0.34209,1.72142,1.66058,1.77374,0.000271346,0.000271346,0.000271346
17,36.6235,1.4188,1.61194,1.34416,0.88094,0.44947,0.64054,0.32534,1.63972,1.71172,1.78987,0.000283667,0.000283667,0.000283667
18,38.4787,1.28391,1.46882,1.28258,0.486,0.63914,0.65834,0.34165,1.66635,1.73903,1.76503,0.000295359,0.000295359,0.000295359
19,40.2559,1.38568,1.48173,1.33947,0.57442,0.64474,0.6679,0.29873,1.76488,1.8076,1.84367,0.000306423,0.000306423,0.000306423
20,42.1604,1.26087,1.36464,1.27668,0.94951,0.47143,0.7173,0.35324,1.66559,1.70238,1.76705,0.000316859,0.000316859,0.000316859
21,43.9843,1.2042,1.36136,1.27243,0.69953,0.51424,0.71059,0.36965,1.60982,1.79003,1.75488,0.000326666,0.000326666,0.000326666
22,45.8677,1.33132,1.38542,1.32489,0.41649,0.62024,0.53699,0.26016,1.66063,1.97778,1.78452,0.000335844,0.000335844,0.000335844
23,47.77,1.16162,1.1971,1.2376,0.55328,0.73238,0.66833,0.29062,1.67372,1.89873,1.80895,0.000344394,0.000344394,0.000344394
24,49.7195,1.1861,1.1703,1.26504,0.63489,0.81765,0.77007,0.34021,1.72772,1.81995,1.82056,0.000352316,0.000352316,0.000352316
25,51.7164,1.15325,1.09899,1.19731,0.7562,0.6237,0.75414,0.4013,1.63073,1.91784,1.80309,0.000359608,0.000359608,0.000359608
26,53.653,1.18359,1.08832,1.21458,0.84033,0.68512,0.72969,0.37523,1.67387,1.83778,1.83144,0.000366273,0.000366273,0.000366273
27,55.5529,1.12203,1.06604,1.23952,0.66821,0.60542,0.66928,0.35986,1.64858,1.62144,1.74927,0.000372309,0.000372309,0.000372309
28,57.4137,1.16027,1.15202,1.24556,0.48988,0.74359,0.62262,0.35883,1.59701,1.87729,1.69907,0.000377716,0.000377716,0.000377716
29,59.3151,1.12184,1.19686,1.1812,0.77928,0.48242,0.60359,0.311,1.80767,2.26829,1.85187,0.000382495,0.000382495,0.000382495
30,61.3161,1.18341,1.09363,1.25033,0.57835,0.58986,0.66255,0.32322,1.84998,1.82653,1.93595,0.000386645,0.000386645,0.000386645
31,63.2091,1.1582,1.02758,1.24687,0.79537,0.51616,0.5875,0.322,1.7117,1.85992,1.77597,0.000390167,0.000390167,0.000390167
32,65.1147,1.21492,1.056,1.26138,0.40986,0.62518,0.58501,0.3195,1.71489,1.81038,1.76636,0.000393061,0.000393061,0.000393061
33,67.0662,1.16829,1.08048,1.2445,0.59571,0.60812,0.61954,0.35476,1.6761,1.66227,1.75148,0.000395326,0.000395326,0.000395326
34,68.9882,1.24776,1.06078,1.27127,0.76375,0.56688,0.59881,0.39069,1.57453,1.77529,1.67259,0.000396962,0.000396962,0.000396962
35,70.8664,1.1704,0.9303,1.21812,0.82327,0.49286,0.59383,0.35877,1.65973,1.74312,1.76175,0.00039797,0.00039797,0.00039797
36,72.7982,1.15098,0.98232,1.27087,0.58477,0.62619,0.62163,0.35692,1.63436,1.65484,1.72047,0.000398349,0.000398349,0.000398349
37,74.6535,1.16592,0.94036,1.24495,0.68339,0.6619,0.68543,0.41122,1.51387,1.5439,1.64434,0.0003981,0.0003981,0.0003981
38,76.5882,1.10395,0.95113,1.22213,0.67331,0.7119,0.78204,0.42031,1.70618,1.45407,1.78965,0.000397222,0.000397222,0.000397222
39,78.4777,1.09804,0.88338,1.2137,0.87033,0.57857,0.77057,0.42442,1.64484,1.30948,1.71737,0.000395716,0.000395716,0.000395716
40,80.564,1.12685,0.87173,1.19444,0.65899,0.77853,0.82353,0.46139,1.63252,1.28541,1.71729,0.000393581,0.000393581,0.000393581
41,82.666,1.10311,0.95394,1.19429,0.77711,0.75595,0.84533,0.42066,1.85088,1.36785,1.98986,0.000390818,0.000390818,0.000390818
42,84.6022,1.10597,0.93825,1.20861,0.82661,0.73196,0.8626,0.43598,1.75677,1.27758,1.96097,0.000387426,0.000387426,0.000387426
43,86.4997,1.06734,1.00749,1.17584,0.81121,0.70634,0.81422,0.41639,1.78612,1.43664,2.11168,0.000383406,0.000383406,0.000383406
44,88.4857,1.10485,0.92929,1.24644,0.87091,0.48413,0.72286,0.31761,2.01779,1.95215,2.39833,0.000378757,0.000378757,0.000378757
45,90.4115,1.08219,0.97227,1.20489,0.83153,0.53227,0.67221,0.29943,2.02072,1.81589,2.29958,0.00037348,0.00037348,0.00037348
46,92.3272,1.07897,0.93169,1.16032,0.82748,0.52657,0.66414,0.33518,1.87633,1.80391,2.11444,0.000367574,0.000367574,0.000367574
47,94.2482,1.03637,0.81752,1.14023,0.83565,0.52473,0.61811,0.30922,1.99108,2.01373,2.2302,0.00036104,0.00036104,0.00036104
48,96.1463,1.03682,0.8278,1.14763,0.54329,0.58452,0.5548,0.28005,1.98603,1.90092,2.23809,0.000353877,0.000353877,0.000353877
49,98.034,1.02983,0.80136,1.18162,0.59327,0.62024,0.65176,0.35068,1.74575,1.4544,2.01484,0.000346086,0.000346086,0.000346086
50,99.9988,0.92862,0.7697,1.10324,0.51479,0.65984,0.66375,0.3556,1.7733,1.34158,2.09022,0.000337666,0.000337666,0.000337666
51,101.888,0.97094,0.73883,1.15472,0.67836,0.65024,0.72498,0.37796,1.74591,1.28281,2.11436,0.000325364,0.000325364,0.000325364
52,103.794,0.96407,0.74221,1.1265,0.61583,0.75608,0.82714,0.42894,1.72611,1.14354,2.04609,0.000309652,0.000309652,0.000309652
53,105.694,0.99334,0.79162,1.13086,0.61946,0.69442,0.82217,0.41485,1.75341,1.17161,2.0494,0.000293939,0.000293939,0.000293939
54,107.628,0.95333,0.7725,1.14229,0.57954,0.54286,0.70565,0.35549,1.81969,1.27682,2.10058,0.000278226,0.000278226,0.000278226
55,109.464,0.97633,0.78052,1.137,0.84118,0.50714,0.72157,0.36284,1.79354,1.27868,2.0735,0.000262513,0.000262513,0.000262513
56,111.38,0.96385,0.71566,1.13739,0.50835,0.77842,0.78428,0.42724,1.71678,1.15548,2.00416,0.000246801,0.000246801,0.000246801
57,113.258,0.94545,0.78203,1.1481,0.65881,0.79478,0.76271,0.44517,1.61613,1.11639,1.8789,0.000231088,0.000231088,0.000231088
58,115.238,0.87938,0.698,1.05672,0.60637,0.82939,0.7358,0.40175,1.63172,1.22835,1.87983,0.000215375,0.000215375,0.000215375
59,117.128,0.85611,0.71305,1.05756,0.60735,0.61488,0.69319,0.39143,1.70594,1.49432,1.98203,0.000199663,0.000199663,0.000199663
60,119.012,0.84302,0.68131,1.04465,0.58448,0.63775,0.70212,0.3888,1.71037,1.55138,1.98218,0.00018395,0.00018395,0.00018395
61,135.868,0.85627,0.66383,1.08326,0.64074,0.73872,0.76405,0.441,1.63346,1.32177,1.90256,0.000168237,0.000168237,0.000168237
62,137.577,0.88526,0.73133,1.13372,0.70217,0.8575,0.79141,0.47078,1.56877,1.1721,1.83725,0.000152524,0.000152524,0.000152524
63,139.266,1.00247,0.75163,1.17751,0.78285,0.78303,0.79411,0.46592,1.56933,1.09019,1.84373,0.000136812,0.000136812,0.000136812
64,140.955,0.81967,0.67928,1.10894,0.76399,0.80973,0.79377,0.46705,1.5745,1.10514,1.82097,0.000121099,0.000121099,0.000121099
65,142.661,0.82051,0.67346,1.08315,0.76014,0.82298,0.79281,0.45467,1.56692,1.11081,1.80699,0.000105386,0.000105386,0.000105386
66,144.51,0.78746,0.63791,1.06235,0.77321,0.82176,0.78765,0.44736,1.54523,1.10306,1.77567,8.96736e-05,8.96736e-05,8.96736e-05
67,146.236,0.74584,0.60367,1.01158,0.73889,0.82568,0.7818,0.44363,1.53094,1.10547,1.75458,7.39609e-05,7.39609e-05,7.39609e-05
68,148.024,0.74982,0.59556,1.04034,0.73772,0.83186,0.79638,0.45718,1.52089,1.11261,1.7447,5.82481e-05,5.82481e-05,5.82481e-05
69,149.798,0.70447,0.60625,0.9974,0.74088,0.83754,0.81323,0.45068,1.51674,1.11174,1.74878,4.25354e-05,4.25354e-05,4.25354e-05
70,151.678,0.77058,0.62285,1.04514,0.75565,0.87543,0.81514,0.45592,1.5164,1.08239,1.75739,2.68227e-05,2.68227e-05,2.68227e-05
