epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1564,2.72971,9.08697,2.31021,0.11745,0.22143,0.10218,0.03492,2.74168,4.30794,2.59046,4.444e-05,4.444e-05,4.444e-05
2,42.5452,2.71508,8.99979,2.28624,0.09817,0.08571,0.08216,0.02654,2.29495,3.62036,2.18444,9.80102e-05,9.80102e-05,9.80102e-05
3,51.7866,2.06766,4.54656,1.81729,0.69438,0.45063,0.64352,0.30427,1.67659,3.3427,1.84384,0.000149381,0.000149381,0.000149381
4,56.9977,1.69811,3.92213,1.5681,0.80193,0.60715,0.69298,0.33005,1.74557,2.38415,1.73651,0.000198551,0.000198551,0.000198551
5,62.2376,1.71094,2.94582,1.5765,0.82883,0.64988,0.85239,0.4044,1.7358,1.89405,1.655,0.000245522,0.000245522,0.000245522
6,70.0715,1.60203,2.57074,1.48044,0.85481,0.52143,0.7362,0.39279,1.65808,1.88943,1.56646,0.000290293,0.000290293,0.000290293
7,76.3176,1.62454,2.15298,1.4279,0.64772,0.888,0.83469,0.39648,1.83797,1.60767,1.76716,0.000332864,0.000332864,0.000332864
8,82.8151,1.47654,1.97014,1.38204,0.58722,0.8556,0.7616,0.37394,1.78624,1.42982,1.71234,0.000373236,0.000373236,0.000373236
9,92.8747,1.52153,1.97696,1.45591,0.61388,0.65822,0.70396,0.3724,1.67515,1.57498,1.6894,0.000411408,0.000411408,0.000411408
10,99.8962,1.43673,2.05721,1.40088,0.7936,0.7119,0.83329,0.47984,1.60332,1.29725,1.7013,0.00044738,0.00044738,0.00044738
11,107.87,1.57237,1.74538,1.43722,0.675,0.75595,0.80525,0.41595,1.76909,1.51217,1.77496,0.000481152,0.000481152,0.000481152
12,112.306,1.32424,1.47184,1.29977,0.86728,0.67311,0.73823,0.39028,1.72534,1.59559,1.80176,0.000512724,0.000512724,0.000512724
13,116.669,1.33274,1.57431,1.37341,0.59078,0.83929,0.77224,0.41956,1.64192,1.43925,1.74251,0.000542097,0.000542097,0.000542097
14,122.289,1.30877,1.39335,1.33579,0.61423,0.67619,0.77369,0.3669,1.80674,1.40174,1.95003,0.00056927,0.00056927,0.00056927
15,127.399,1.37787,1.30192,1.44646,0.74162,0.77601,0.79601,0.37813,1.75316,1.29158,1.90424,0.000594243,0.000594243,0.000594243
16,132.288,1.32405,1.2577,1.32577,0.66401,0.86667,0.79134,0.3777,1.70987,1.22623,1.85734,0.000617016,0.000617016,0.000617016
17,137.313,1.4278,1.42375,1.4646,0.82894,0.72447,0.82509,0.40951,1.60641,1.33618,1.7434,0.00063759,0.00063759,0.00063759
18,141.857,1.22057,1.24177,1.26051,0.69246,0.83333,0.77957,0.39763,1.56082,1.28002,1.72138,0.000655963,0.000655963,0.000655963
19,146.497,1.24316,1.29627,1.29766,0.68364,0.83333,0.74884,0.41084,1.54524,1.368,1.67103,0.000672137,0.000672137,0.000672137
20,151.339,1.24408,1.15637,1.29453,0.64689,0.85821,0.79971,0.44886,1.54033,1.1655,1.66601,0.000686111,0.000686111,0.000686111
21,155.73,1.1829,1.18665,1.23643,0.74139,0.77628,0.82127,0.47967,1.4381,1.11733,1.58133,0.000671044,0.000671044,0.000671044
22,160.251,1.21129,1.15477,1.28967,0.79069,0.74566,0.81385,0.48307,1.44307,1.21144,1.59101,0.000649046,0.000649046,0.000649046
23,165.29,1.14835,1.02354,1.23463,0.83449,0.72364,0.82351,0.46328,1.48847,1.22122,1.69452,0.000627048,0.000627048,0.000627048
24,169.878,1.23836,0.99054,1.29336,0.8098,0.68839,0.80226,0.44164,1.50076,1.09964,1.71203,0.000605051,0.000605051,0.000605051
25,174.31,1.22528,1.01723,1.26664,0.85767,0.67213,0.80748,0.4586,1.50421,1.07028,1.70265,0.000583053,0.000583053,0.000583053
26,179.985,1.20706,1.05142,1.26426,0.87574,0.54881,0.76641,0.45707,1.49242,1.29054,1.68171,0.000561055,0.000561055,0.000561055
27,185.441,1.16588,0.95872,1.21299,0.84699,0.57806,0.77352,0.41748,1.59435,1.38115,1.73711,0.000539057,0.000539057,0.000539057
28,191.13,1.20738,1.02505,1.29059,0.73751,0.68766,0.76192,0.41755,1.6752,1.24892,1.80272,0.000517059,0.000517059,0.000517059
29,197.671,1.16346,0.93971,1.27808,0.85191,0.69603,0.81756,0.45347,1.5655,1.1558,1.69577,0.000495062,0.000495062,0.000495062
30,204.627,1.15377,0.93021,1.30343,0.87656,0.77107,0.86114,0.50769,1.46915,1.00589,1.61967,0.000473064,0.000473064,0.000473064
31,211.884,1.21148,0.95407,1.2752,0.92985,0.77631,0.86577,0.51876,1.4407,0.96203,1.62329,0.000451066,0.000451066,0.000451066
32,220.495,1.00771,0.89206,1.17826,0.8766,0.76594,0.86548,0.45734,1.64494,1.1133,1.72686,0.000429068,0.000429068,0.000429068
33,227.346,1.06884,0.86723,1.20713,0.87146,0.72552,0.82445,0.4531,1.62154,1.17884,1.68782,0.00040707,0.00040707,0.00040707
34,236.479,1.08695,0.79304,1.17423,0.67765,0.75421,0.77796,0.44016,1.56193,1.2634,1.66293,0.000385073,0.000385073,0.000385073
35,242.764,1.11757,0.90166,1.19167,0.64309,0.78503,0.76874,0.44294,1.58093,1.20172,1.69903,0.000363075,0.000363075,0.000363075
36,247.644,0.95817,0.7747,1.14268,0.68485,0.87009,0.85809,0.46954,1.68366,1.0129,1.80137,0.000341077,0.000341077,0.000341077
37,252.742,1.06257,0.85022,1.19015,0.72923,0.80498,0.85489,0.46838,1.63728,0.98728,1.77104,0.000319079,0.000319079,0.000319079
38,258.411,0.91896,0.78008,1.1217,0.71138,0.85787,0.85154,0.47399,1.58115,0.97517,1.7243,0.000297081,0.000297081,0.000297081
39,263.486,0.98637,0.81724,1.17896,0.70877,0.87027,0.84591,0.47549,1.5519,0.96019,1.69226,0.000275084,0.000275084,0.000275084
40,267.993,0.95268,0.77542,1.09868,0.68019,0.88095,0.81749,0.47709,1.56714,0.93502,1.70285,0.000253086,0.000253086,0.000253086
41,294.864,0.96282,0.77629,1.18797,0.73117,0.89814,0.80646,0.48852,1.5572,0.89059,1.69137,0.000231088,0.000231088,0.000231088
42,300.212,0.90998,0.73041,1.08916,0.73614,0.89613,0.82012,0.49658,1.53198,0.88174,1.66959,0.00020909,0.00020909,0.00020909
43,305.864,0.96327,0.79077,1.16635,0.75655,0.84347,0.83197,0.50572,1.52539,0.88066,1.64608,0.000187092,0.000187092,0.000187092
44,310.527,0.92048,0.73982,1.13751,0.7581,0.84924,0.83496,0.49749,1.53517,0.90433,1.64995,0.000165095,0.000165095,0.000165095
45,315.239,0.94072,0.71174,1.15548,0.75187,0.91577,0.82353,0.49901,1.53725,0.8717,1.65073,0.000143097,0.000143097,0.000143097
46,320.406,0.8916,0.71396,1.14981,0.73059,0.9023,0.84872,0.4955,1.54745,0.85093,1.65891,0.000121099,0.000121099,0.000121099
47,325.316,0.88055,0.67619,1.1046,0.72191,0.90241,0.85333,0.50156,1.54145,0.83657,1.65534,9.91012e-05,9.91012e-05,9.91012e-05
48,330.429,0.88827,0.69479,1.13704,0.80698,0.79964,0.84206,0.49498,1.51615,0.80124,1.63298,7.71034e-05,7.71034e-05,7.71034e-05
49,335.052,0.84047,0.6823,1.07559,0.81157,0.80843,0.83979,0.49563,1.50277,0.79042,1.62104,5.51056e-05,5.51056e-05,5.51056e-05
50,339.616,0.83125,0.67533,1.08603,0.81369,0.81556,0.84565,0.49848,1.50056,0.78865,1.61685,3.31078e-05,3.31078e-05,3.31078e-05
