epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2930.9,0.67854,0.49446,0.98267,0.88287,0.85272,0.93631,0.65475,0.8412,0.56881,1.04184,0.000349979,0.000349979,0.000349979
43,2961.84,0.66743,0.47562,0.981,0.85883,0.86753,0.92445,0.63787,0.80965,0.53411,1.03326,0.000338198,0.000338198,0.000338198
44,2998.11,0.66445,0.46226,0.9751,0.89491,0.86336,0.93269,0.65149,0.81339,0.55727,1.04338,0.000326417,0.000326417,0.000326417
45,3032.52,0.67956,0.4779,0.97189,0.86044,0.87503,0.92082,0.63303,0.83534,0.59051,1.06445,0.000314636,0.000314636,0.000314636
46,3070.52,0.69133,0.48216,0.98808,0.85485,0.87033,0.92654,0.63571,0.81564,0.56029,1.03322,0.000302855,0.000302855,0.000302855
47,3109.41,0.67356,0.46463,0.97957,0.84875,0.87022,0.91395,0.62659,0.84182,0.55835,1.03493,0.000291074,0.000291074,0.000291074
48,3155.93,0.682,0.47386,0.97388,0.87859,0.85838,0.93315,0.63779,0.81723,0.52233,1.03313,0.000279293,0.000279293,0.000279293
49,3197.9,0.65161,0.46431,0.96777,0.855,0.86087,0.92658,0.65142,0.81776,0.53772,1.03289,0.000267512,0.000267512,0.000267512
50,3243.02,0.64682,0.45041,0.9602,0.88467,0.85988,0.92578,0.64853,0.80896,0.52427,1.03857,0.000255731,0.000255731,0.000255731
51,3283.16,0.63562,0.4568,0.96144,0.87302,0.86178,0.92387,0.65382,0.80768,0.51604,1.03398,0.00024395,0.00024395,0.00024395
52,3316.95,0.64692,0.46216,0.96378,0.83252,0.87721,0.91421,0.64623,0.80368,0.54421,1.03126,0.000232169,0.000232169,0.000232169
53,3359.64,0.63152,0.43874,0.96277,0.89348,0.89304,0.93014,0.66825,0.80192,0.54617,1.04188,0.000220388,0.000220388,0.000220388
54,3407.14,0.64135,0.44971,0.97461,0.88604,0.85031,0.93304,0.66457,0.7957,0.52841,1.03101,0.000208607,0.000208607,0.000208607
55,3436.94,0.61685,0.4414,0.95155,0.8771,0.87424,0.94289,0.6547,0.80528,0.52925,1.03837,0.000196826,0.000196826,0.000196826
56,3483.17,0.63195,0.44496,0.95284,0.87333,0.8481,0.93169,0.66572,0.7923,0.525,1.02398,0.000185045,0.000185045,0.000185045
57,3528.17,0.61717,0.42926,0.95297,0.91361,0.82283,0.9196,0.66252,0.79408,0.52545,1.03043,0.000173264,0.000173264,0.000173264
58,3584.37,0.62335,0.4177,0.95166,0.88355,0.85418,0.91152,0.66355,0.77317,0.52257,1.02283,0.000161483,0.000161483,0.000161483
59,3621.82,0.5992,0.42345,0.94951,0.87156,0.85515,0.92429,0.66744,0.78675,0.52207,1.03056,0.000149702,0.000149702,0.000149702
60,3656.22,0.60306,0.42293,0.95319,0.816,0.92235,0.92829,0.66148,0.79212,0.52614,1.03127,0.000137921,0.000137921,0.000137921
61,3724.71,0.63372,0.43277,0.96444,0.86312,0.861,0.93198,0.67068,0.80059,0.53224,1.03071,0.00012614,0.00012614,0.00012614
62,3760.54,0.61226,0.40588,0.95387,0.90924,0.83812,0.91245,0.64641,0.81039,0.51252,1.05162,0.000114359,0.000114359,0.000114359
63,3793.05,0.62125,0.41949,0.96546,0.88842,0.85904,0.91808,0.65221,0.78871,0.52655,1.03494,0.000102578,0.000102578,0.000102578
64,3827.77,0.59964,0.40002,0.95168,0.89848,0.89331,0.93864,0.66479,0.78634,0.51151,1.03031,9.0797e-05,9.0797e-05,9.0797e-05
65,3868.99,0.59539,0.3921,0.94945,0.88941,0.89951,0.94313,0.66527,0.78222,0.52307,1.03405,7.9016e-05,7.9016e-05,7.9016e-05
66,3901.35,0.59486,0.39673,0.93918,0.8887,0.89648,0.93555,0.66666,0.7723,0.50722,1.02208,6.7235e-05,6.7235e-05,6.7235e-05
67,3939.53,0.57446,0.37929,0.9412,0.8749,0.89158,0.93403,0.66788,0.76887,0.50643,1.02381,5.5454e-05,5.5454e-05,5.5454e-05
68,3979.77,0.57208,0.37851,0.92903,0.87485,0.85385,0.91882,0.65424,0.77241,0.50882,1.0215,4.3673e-05,4.3673e-05,4.3673e-05
69,4024.88,0.56679,0.37571,0.93701,0.85999,0.86459,0.91243,0.64818,0.77155,0.50766,1.02278,3.1892e-05,3.1892e-05,3.1892e-05
70,4052.08,0.57114,0.3697,0.93844,0.86754,0.86454,0.91206,0.65354,0.77171,0.50456,1.02422,2.0111e-05,2.0111e-05,2.0111e-05
