epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.78064,2.67246,7.3782,2.37037,0.12539,0.17143,0.0959,0.03773,2.6872,4.34266,2.51646,1.111e-05,1.111e-05,1.111e-05
2,8.28351,2.54814,6.90072,2.17735,0.21427,0.17085,0.1163,0.03749,2.75624,4.29553,2.58848,3.26701e-05,3.26701e-05,3.26701e-05
3,9.76766,2.58322,7.97296,2.18338,0.10982,0.22143,0.11063,0.04629,2.7703,4.33998,2.62261,5.33502e-05,5.33502e-05,5.33502e-05
4,11.3924,2.59174,8.01337,2.34166,0.15114,0.24286,0.20201,0.10548,2.42424,3.70927,2.39062,7.31505e-05,7.31505e-05,7.31505e-05
5,13.0802,2.34392,6.31688,2.08983,0.69425,0.17143,0.16495,0.06447,2.0535,3.53499,2.04546,9.20708e-05,9.20708e-05,9.20708e-05
6,14.7405,2.36456,6.56812,2.25145,0.13144,0.25545,0.16163,0.06887,1.84634,3.34261,1.9183,0.000110111,0.000110111,0.000110111
7,16.3957,2.02487,4.39449,1.86916,0.46719,0.44939,0.38738,0.19331,1.71723,3.00091,1.8455,0.000127272,0.000127272,0.000127272
8,18.0666,1.7901,3.63349,1.66135,0.28652,0.57083,0.54436,0.29439,1.61413,4.08155,1.72071,0.000143552,0.000143552,0.000143552
9,19.763,1.59019,3.46704,1.55125,0.62065,0.58937,0.67608,0.34514,1.59377,2.5089,1.65174,0.000158953,0.000158953,0.000158953
10,21.4657,1.62728,2.62443,1.46627,0.58996,0.78095,0.64424,0.31676,1.71668,2.11889,1.6621,0.000173474,0.000173474,0.000173474
11,23.143,1.57711,2.23936,1.41944,0.53694,0.77169,0.75027,0.36122,1.70191,1.59968,1.66939,0.000187115,0.000187115,0.000187115
12,24.8696,1.55522,2.42364,1.41649,0.66559,0.71873,0.72999,0.36294,1.66159,1.58464,1.69997,0.000199876,0.000199876,0.000199876
13,26.5153,1.45297,2.03855,1.38499,0.70241,0.64559,0.7293,0.38558,1.57528,1.49224,1.66238,0.000211757,0.000211757,0.000211757
14,28.206,1.43312,1.8157,1.37029,0.7288,0.61757,0.66853,0.35725,1.60292,1.90944,1.70927,0.000222758,0.000222758,0.000222758
15,29.8662,1.34304,1.74002,1.31723,0.8226,0.65544,0.70751,0.40117,1.6343,1.5354,1.70859,0.000232879,0.000232879,0.000232879
16,31.5511,1.46601,1.87852,1.42427,0.77429,0.67866,0.77527,0.45113,1.59842,1.3719,1.72819,0.00024212,0.00024212,0.00024212
17,33.2316,1.39888,1.60904,1.32618,0.84286,0.65728,0.77249,0.47833,1.51595,1.33697,1.65161,0.000250482,0.000250482,0.000250482
18,34.9059,1.34122,1.49984,1.29835,0.55282,0.84355,0.81142,0.44155,1.54058,1.31671,1.6453,0.000257963,0.000257963,0.000257963
19,36.5379,1.33962,1.42395,1.29616,0.5416,0.83242,0.77585,0.41287,1.66353,1.60273,1.7209,0.000264565,0.000264565,0.000264565
20,38.2344,1.33545,1.41016,1.3075,0.62746,0.69754,0.733,0.38233,1.67224,1.51439,1.77124,0.000270286,0.000270286,0.000270286
21,39.9056,1.28985,1.35157,1.32028,0.56629,0.70325,0.63685,0.34681,1.62414,1.64235,1.69868,0.000275128,0.000275128,0.000275128
22,41.5532,1.32946,1.38649,1.33497,0.71526,0.74762,0.68656,0.33797,1.66699,1.50485,1.72196,0.00027909,0.00027909,0.00027909
23,43.2145,1.21321,1.21497,1.22101,0.63024,0.79253,0.65661,0.30428,1.7183,1.59361,1.75065,0.000282172,0.000282172,0.000282172
24,44.8827,1.24503,1.22483,1.31292,0.5825,0.88404,0.72045,0.34681,1.73547,1.52334,1.85289,0.000284374,0.000284374,0.000284374
25,46.5705,1.16472,1.14379,1.2317,0.71486,0.71345,0.7527,0.34861,1.7675,1.47409,2.03899,0.000285696,0.000285696,0.000285696
26,48.3966,1.13148,1.12885,1.22219,0.77672,0.66254,0.82531,0.36543,1.83534,1.74047,2.15516,0.000286138,0.000286138,0.000286138
27,50.0551,1.13839,1.09952,1.2732,0.68449,0.74635,0.86746,0.41842,1.75098,1.56226,1.99875,0.0002857,0.0002857,0.0002857
28,51.7403,1.16787,1.18729,1.32518,0.80745,0.5528,0.74562,0.39071,1.73542,1.65834,1.95196,0.000284383,0.000284383,0.000284383
29,53.3762,1.10425,1.13842,1.17989,0.89312,0.62946,0.83224,0.41832,1.76114,1.61406,1.98999,0.000282185,0.000282185,0.000282185
30,55.0398,1.08947,1.03868,1.20143,0.86078,0.62267,0.79201,0.39145,1.76375,1.57389,1.94001,0.000279108,0.000279108,0.000279108
31,56.6774,1.14194,1.09097,1.25456,0.62481,0.65424,0.72837,0.38644,1.69841,1.53567,1.80893,0.00027515,0.00027515,0.00027515
32,58.3416,1.13289,0.93885,1.23386,0.6088,0.67024,0.71188,0.38529,1.75349,1.45098,1.89626,0.000270313,0.000270313,0.000270313
33,60.0329,1.09642,0.95053,1.19545,0.64482,0.75232,0.71598,0.41557,1.63927,1.45841,1.75492,0.000264596,0.000264596,0.000264596
34,61.6944,1.14625,1.01674,1.20839,0.59401,0.72002,0.73306,0.41741,1.62924,1.41311,1.73538,0.000257999,0.000257999,0.000257999
35,63.354,1.06365,0.9164,1.17525,0.63303,0.64085,0.7345,0.35829,1.75827,1.48311,1.92847,0.000250522,0.000250522,0.000250522
36,65.0102,1.12248,0.99798,1.25354,0.65445,0.79342,0.71945,0.39664,1.63962,1.34864,1.81315,0.000242165,0.000242165,0.000242165
37,66.6795,1.04063,0.99682,1.17867,0.7398,0.72418,0.77458,0.44123,1.53076,1.34403,1.63386,0.000232928,0.000232928,0.000232928
38,68.3389,1.07271,1.00262,1.20598,0.73772,0.71906,0.76649,0.43867,1.56177,1.40119,1.67192,0.000222811,0.000222811,0.000222811
39,69.9754,1.05472,0.85704,1.19924,0.87435,0.65029,0.74837,0.42307,1.5991,1.44081,1.71996,0.000211814,0.000211814,0.000211814
40,71.6572,1.01201,0.84947,1.14118,0.9041,0.63391,0.73698,0.42063,1.58399,1.4514,1.70231,0.000199938,0.000199938,0.000199938
41,87.4668,0.94558,0.92807,1.20784,0.90788,0.633,0.74478,0.42404,1.57977,1.41221,1.69465,0.000187181,0.000187181,0.000187181
42,89.1403,0.9544,0.89399,1.14916,0.61511,0.83929,0.76652,0.43388,1.65585,1.28404,1.75893,0.000173545,0.000173545,0.000173545
43,90.8092,0.97237,0.84462,1.19571,0.72094,0.83122,0.82209,0.46802,1.56824,1.10658,1.65934,0.000159029,0.000159029,0.000159029
44,92.4213,0.99938,0.87472,1.19951,0.73062,0.83659,0.80822,0.47741,1.52716,1.15148,1.62331,0.000143632,0.000143632,0.000143632
45,94.0781,0.92047,0.8137,1.15121,0.6898,0.80166,0.772,0.46376,1.5498,1.22155,1.6439,0.000127356,0.000127356,0.000127356
46,95.7308,0.86961,0.79302,1.12499,0.68553,0.8221,0.79054,0.45403,1.56315,1.19546,1.65625,0.0001102,0.0001102,0.0001102
47,97.4178,0.93299,0.79534,1.16996,0.7024,0.82098,0.7854,0.45299,1.58612,1.17926,1.68866,9.21641e-05,9.21641e-05,9.21641e-05
48,99.1213,0.862,0.77816,1.12671,0.68812,0.79154,0.78579,0.4644,1.57313,1.15795,1.6861,7.32482e-05,7.32482e-05,7.32482e-05
49,100.82,0.91552,0.76507,1.10979,0.68952,0.78655,0.78969,0.47543,1.56016,1.13188,1.65494,5.34524e-05,5.34524e-05,5.34524e-05
50,102.432,0.87128,0.79601,1.12197,0.64784,0.79762,0.78425,0.47108,1.54084,1.11513,1.62873,3.27767e-05,3.27767e-05,3.27767e-05
